,Agent,BHK_Apartment,Price_in_lakhs,Per_Square_ft_price,Aprtment_Size,Status
0,CMG Builders,4 ,3.12,"6,800 / sq ft",4600 ,Under Construction
1,Giridhari Homes,3 ,84.04,"4,600 / sq ft",1827 ,Under Construction
2,SS Green Projects,3 ,1.65,"6,899 / sq ft",2405 ,Ready to move
3,Accurate Developers,3 ,1.03,"6,290 / sq ft",1645 ,Under Construction
4,Nikhila Constructions And Developers,3 ,59.99,"4,002 / sq ft",1500 ,Under Construction
5,Jd Real Estate,Residential Plot,58.46,"3,400 / sq ft",1720 ,New
6,Om Sree Builders Developers,4 ,1.93,"5,100 / sq ft",3795 ,Under Construction
7,Vishal Projects Limited,4 ,2.6,"6,133 / sq ft",4252 ,Under Construction
8,Maruthi Developers,2 ,62.98,"4,700 / sq ft",1340 ,Ready to move
9,Risinia Builders,2 ,56.98,"4,400 / sq ft",1295 ,Under Construction
10,Prime Infratech,3 ,63.46,"3,800 / sq ft",1670 ,Under Construction
11,Bricks Infratech,3 ,1.1,"5,600 / sq ft",1981 ,Under Construction
12,Maram Infra Projects PvtLtd,3 ,52.98,"3,800 / sq ft",1394 ,Under Construction
13,Pandurangareddy,3 ,83.2,"5,200 / sq ft",1600 ,Under Construction
14,Mahesh Plots,Residential Plot,4,"5,555 / sq ft",7200 ,New
15,somesh compnay,3 ,1.58,"7,371 / sq ft",2155 ,Under Construction
16,Sai Infra,3 ,1.5,"3,750 / sq ft",4000 ,Under Construction
17,Maxxco,5 ,8.5,"12,734 / sq ft",6675 ,Under Construction
18,Asif,4 ,4,"11,428 / sq ft",3500 ,Ready to move
19,Mahesh,Residential Plot,4,"1,111 / sq ft",36000 ,New
20,Amaze Constructions,Residential Plot,31.99,"1,111 / sq ft",2880 ,New
21,Living Landmarks Infratech,Residential Plot,35.01,389 / sq ft,9000 ,New
22,Mahesh Plots,Residential Plot,1,"1,111 / sq ft",9000 ,New
23,Raja Reddy Noti,Residential Plot,24.93,"1,667 / sq ft",1496 ,New
24,Individual Agent,Residential Plot,25,"1,389 / sq ft",1800 ,New
25,MMAB Real Estate,2 ,45,"4,500 / sq ft",1000 ,Ready to move
26,Naveena,3 ,98.56,"6,160 / sq ft",1600 ,Under Construction
27,USM MyCity,Residential Plot,16.09,511 / sq ft,3150 ,New
28,Royal Orchids,Residential Plot,18,500 / sq ft,3600 ,New
29,Suresh M,Residential Plot,15.98,888 / sq ft,1800 ,New
30,SREE PROPERTY,3 ,1.85,"6,851 / sq ft",2700 ,Ready to move
31,Sri Avani Infra projects,2 ,70.95,"5,500 / sq ft",1290 ,Under Construction
32,Shubadha Consultancy India Pvt Ltd,2 ,50.31,"3,900 / sq ft",1290 ,Under Construction
33,Ramesh,2 ,45.67,"3,870 / sq ft",1180 ,Ready to move
34,Kosurri Murralii,Residential Plot,45.48,"1,444 / sq ft",3150 ,New
35,Individual Agent,Residential Plot,16.5,916 / sq ft,1800 ,New
36,Earu,Residential Plot,65,"4,513 / sq ft",1440 ,New
37,Nagaraju Realtors,Residential Plot,48.59,"1,000 / sq ft",4860 ,New
38,Green Metro,Residential Plot,6.75,500 / sq ft,1350 ,New
39,Laxmi,Residential Plot,22.19,"2,055 / sq ft",1080 ,Resale
40,New Vision Consultancy,2 ,30,"2,678 / sq ft",1120 ,Ready to move
41,Thejas,3 ,88.5,"5,900 / sq ft",1500 ,Ready to move
42,Space Vision,Residential Plot,9.55,722 / sq ft,1323 ,New
43,Md Inayatur rahman,Residential Plot,10.23,688 / sq ft,1485 ,New
44,Venkata Ganesh kumar Reddy,Residential Plot,26.99,"1,111 / sq ft",2430 ,New
45,Propfinder India Pvt Ltd,3 ,1.58,"7,371 / sq ft",2155 ,Under Construction
46,Sahasra Construction,4 ,2.15,"5,657 / sq ft",3800 ,Ready to move
47,B Suresh Chandra,Residential Plot,7.5,555 / sq ft,1350 ,New
48,Balaji Realtors,2 ,63,"5,478 / sq ft",1150 ,Ready to move
49,Fudosan Developers and Agency,3 ,2.07,"5,800 / sq ft",3569 ,Under Construction
50,Sai Teja Constructions,3 ,93,"5,500 / sq ft",1691 ,Under Construction
51,Mohammed Jameel ur Rahman,3 ,42,"3,500 / sq ft",1200 ,Ready to move
52,Shathabdhi townships,Residential Plot,21.99,611 / sq ft,3600 ,New
53,APS Property Solutions Pvt Ltd,3 ,2.04,"7,885 / sq ft",2595 ,Ready to move
54,Mahesh Plots,Residential Plot,1,"5,555 / sq ft",1800 ,New
